Sim_num	Dist	MRATE	oriLat	oriLon	Axis1	Axis2	Axis3	Axis4	Axis5	Axis6	Axis7	Axis8	Axis9	Axis10	Axis11	Axis12	Axis13
15974	7.01747	0.00661188	2.35289	15.9636	1.94956	-0.619752	-1.17108	-4.71859	-2.69444	1.80738	0.355651	1.30456	-0.905158	-1.91439	0.341405	0.462113	-1.70685
15976	10.6915	0.00493	2.02219	19.8989	3.11416	-2.24826	-1.41833	-3.25776	-2.30286	2.05588	0.51672	0.995241	-0.777582	-1.91309	-0.527272	-0.658486	-0.536053
15984	3.03258	0.00395103	4.79325	20.7001	2.82031	-2.01434	0.610839	-5.09816	-2.86079	1.57612	0.433449	1.33884	-1.07419	-1.91665	0.819063	-0.650948	0.580413
16213	15.0338	0.0064956	4.32778	16.5036	3.75215	-2.06215	-0.974629	-4.46696	-2.08522	1.0011	-0.0534561	-0.491283	0.286481	-1.36013	-0.661759	-0.0203576	-0.0805199
16571	7.12723	0.00530764	2.3258	19.875	3.06977	-2.75069	0.954893	-4.63577	-2.0989	1.89042	1.14403	0.959388	-1.01981	-2.26063	0.803856	0.885275	-0.346553
16740	13.6311	0.005007	2.66404	21.4809	5.01987	-2.26824	-0.0317556	-4.0944	-2.55104	0.88405	-0.463154	0.574113	-1.12611	-2.22586	0.646378	-0.251959	-0.0729869
16748	14.9767	0.00615053	1.48848	14.6267	1.41476	-2.05037	0.936857	-4.25466	-1.62492	1.43359	0.646357	-0.613822	0.912241	-2.58776	-0.873855	0.222762	0.202125
17548	11.7008	0.00918073	5.20232	10.9125	0.890725	-0.665322	-0.726722	-4.27246	-3.2671	1.97103	0.923195	0.133394	0.0168269	-1.23587	1.05133	1.02969	-1.36371
17551	16.4906	0.00634907	2.23021	19.6013	3.80836	-1.28489	-1.08574	-3.84849	-2.42806	1.00443	-2.26177	1.269	-1.76081	-1.16842	-0.374863	0.179144	0.876323
18024	17.2625	0.0031702	5.20757	18.7413	2.74614	-1.89402	-0.298276	-5.44921	-1.73229	1.01761	-0.894363	-1.2566	1.12695	-1.08109	0.592804	0.462232	-0.235761
18110	17.7877	0.00336616	3.7049	18.5947	4.47649	-1.48645	2.16594	-4.24467	-3.03074	2.03491	0.559375	0.70891	-0.748697	-1.28408	-0.251766	0.61228	-0.371658
18135	14.8522	0.00592201	6.10501	19.5189	1.2234	-0.786589	-2.70289	-4.55925	-3.10267	1.3497	-1.80409	0.115768	-1.17258	-2.10381	0.145407	1.00347	-0.00414178
18237	10.1971	0.00417699	5.43037	20.9466	3.17423	-2.81337	-0.14903	-3.197	-2.85677	0.176328	-0.921415	1.50344	-1.16954	-2.34067	0.613035	0.0732201	-0.827515
18514	14.9188	0.00628611	2.9011	20.2725	2.48007	-1.7361	-2.28347	-3.79657	-1.84718	1.94303	0.572601	2.06552	-0.583371	-0.0803877	0.307983	-0.587174	-0.531598
19083	17.9483	0.00569039	3.18361	20.0892	3.52232	-1.62805	-1.94046	-3.92899	-2.48518	0.945952	-0.124434	1.15788	-0.471934	0.0276029	-0.31641	-1.33906	0.415578
19191	14.8795	0.00743118	4.32262	20.3606	4.24819	-2.22581	-1.52611	-4.98684	-2.16702	1.02657	-1.54488	1.07964	-1.01755	-1.50974	-0.639022	-0.282409	0.579469
19467	14.8547	0.00224661	4.76129	18.8912	4.06931	-1.18813	1.45254	-3.86293	-2.55045	2.24036	0.376864	1.94285	-1.55978	-0.470987	0.391071	-0.429453	0.252392
19568	17.5297	0.00682462	1.36981	17.5857	2.31471	-0.824683	-1.11817	-3.40769	-0.56489	0.994927	-2.13008	0.844561	-1.16418	-1.63204	-0.472989	0.594274	-0.0271261
19696	13.9541	0.00823855	1.86008	17.3338	2.64462	-1.15608	-3.00419	-3.77011	-2.5615	1.5608	0.0126367	1.44409	-1.30725	-1.19596	0.156634	0.0764771	-0.704287
19722	14.2072	0.00799789	1.892	3.44282	0.808731	-0.703896	2.14472	-4.16143	-4.52301	1.31379	-0.674659	1.18789	-1.47958	-2.1213	2.23095	-0.710545	0.115593
19815	12.9031	0.00624124	6.10836	16.181	2.27454	-0.78711	-1.79286	-3.10456	-1.81947	1.36087	-1.06959	1.29026	-1.10667	-0.884008	0.492777	0.503836	-0.595126
19933	11.8803	0.00710212	1.14133	20.3567	2.37602	-1.34556	-1.12776	-5.18254	-1.3016	0.633411	-1.89591	-0.148744	-0.757653	-2.56094	0.696107	0.0762419	-0.966785
